Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.68643093,18.026615969581748,19.0,-0.28438336,-0.5180952234353338,-0.5180952234353338,0.23951027,0.065215215,0.00029996905,1.0
20000,0.681302,17.06159420289855,None,-0.45590097,-0.5482820860947235,-0.5482820860947235,0.18915865,0.0709977,0.0002999134,1.0
30000,0.56084895,27.309037900874635,22.0,-0.40260026,-0.5218231915933651,-0.5218231915933651,0.15936695,0.06792623,0.00029985138,1.0
40000,0.4185047,46.65841584158416,None,-0.31213066,-0.34088667900544667,-0.34088667900544667,0.13727565,0.061009984,0.0002997892,1.0
50000,0.35683113,59.52866242038217,24.0,-0.28218195,-0.3037974551508698,-0.3037974551508698,0.12209393,0.07076132,0.00029972676,1.0
60000,0.28409934,92.47272727272727,46.0,-0.0071500367,0.2072727449915626,0.2072727449915626,0.13498113,0.0727576,0.00029967053,1.0
70000,0.18920755,117.89189189189189,None,0.03889004,-0.03648646598732149,-0.03648646598732149,0.09890157,0.06876805,0.00029961418,1.0
80000,0.14056385,222.7391304347826,None,0.12778421,0.7543478561160357,0.7543478561160357,0.07036223,0.067519665,0.0002995518,1.0
90000,0.0966876,229.24137931034483,None,0.11821315,0.23448277855741567,0.23448277855741567,0.046617925,0.05805842,0.00029948968,1.0
100000,0.054932278,487.8235294117647,53.0,0.17009547,1.5529412083766039,1.5529412083766039,0.031987738,0.07136277,0.00029942632,1.0
110000,0.03837023,856.375,55.0,0.25306746,3.5625000381842256,3.5625000381842256,0.02068746,0.06278383,0.000299369,1.0
120000,0.02611553,1501.0,69.0,0.3507211,6.500000037252903,6.500000037252903,0.020727487,0.07035852,0.00029931206,1.0
130000,0.020873968,1283.0,81.0,0.40524924,5.066666712363561,5.066666712363561,0.019595945,0.0665258,0.00029924916,1.0
140000,0.022531034,2580.0,104.0,0.45846984,12.100000061094761,12.100000061094761,0.015635692,0.07027825,0.0002991921,1.0
150000,0.025259776,1207.0,122.0,0.45040634,6.033333373566468,6.033333373566468,0.01511957,0.06845482,0.00029913458,1.0
160000,0.015564247,5274.0,134.0,0.4489281,25.800000101327896,25.800000101327896,0.013659133,0.067080654,0.00029907151,1.0
170000,0.018047562,None,156.0,0.45035893,None,None,0.011363208,0.06346043,0.0002990081,1.0
180000,0.017156431,4998.285714285715,171.0,0.43793866,23.800000133258955,23.800000133258955,0.017613623,0.06786058,0.00029895108,1.0
190000,0.02119007,3185.25,None,0.43205214,13.350000079721212,13.350000079721212,0.022852013,0.06412527,0.0002988942,1.0
200000,0.029420529,2150.6,None,0.52304965,10.200000102818013,10.200000102818013,0.02244034,0.071538195,0.0002988309,1.0
210000,0.026130015,3260.0,None,0.6012414,17.25000014156103,17.25000014156103,0.017898414,0.07114221,0.0002987681,1.0
220000,0.024592113,2132.0,None,0.6524237,16.90000021457672,16.90000021457672,0.018320879,0.06409426,0.00029871103,1.0
230000,0.021095295,2191.6666666666665,None,0.6420402,15.033333539962769,15.033333539962769,0.016629355,0.07187613,0.00029865425,1.0
240000,0.012838637,None,None,0.57154953,None,None,0.013982261,0.07299335,0.00029859107,1.0
250000,0.016809683,None,187.0,0.552332,None,None,0.013251498,0.06555174,0.000298527,1.0
260000,0.016260637,None,205.0,0.50925624,None,None,0.011012906,0.06388268,0.0002984695,1.0
270000,0.017958427,4623.0,229.0,0.47292313,21.766666911542416,21.766666911542416,0.017045181,0.065555915,0.00029841223,1.0
280000,0.016565,None,251.0,0.49459726,None,None,0.012113108,0.06928881,0.00029834887,1.0
290000,0.017121885,None,276.0,0.4944734,None,None,0.013714446,0.06858291,0.00029828548,1.0
300000,0.01742452,None,295.0,0.48412263,None,None,0.013179617,0.06584858,0.000298228,1.0
310000,0.017916737,None,318.0,0.5073563,None,None,0.013972076,0.06655172,0.0002981706,1.0
320000,0.018042495,None,341.0,0.5695639,None,None,0.015694167,0.064005,0.00029810664,1.0
330000,0.01795195,11054.5,362.0,0.5712286,61.65000044927001,61.65000044927001,0.0195049,0.061092842,0.00029804854,1.0
