Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
350000,0.015826037,5714.0,619.0,0.6845834,39.500000447034836,39.500000447034836,0.022874195,0.06791205,0.00029793126,1.0
360000,0.0171687,None,650.0,0.7076727,None,None,0.018457314,0.06531377,0.00029786787,1.0
370000,0.017255265,None,680.0,0.7237045,None,None,0.019404572,0.076058775,0.00029781047,1.0
380000,0.014785541,None,708.0,0.72917175,None,None,0.017160192,0.070360444,0.00029775308,1.0
390000,0.014987992,None,733.0,0.71914333,None,None,0.019673552,0.06566082,0.00029768972,1.0
400000,0.014150817,None,765.0,0.6912379,None,None,0.015234229,0.067398414,0.00029762633,1.0
410000,0.014251622,None,791.0,0.6564764,None,None,0.013853349,0.07066797,0.00029756912,1.0
420000,0.01569529,None,821.0,0.68378496,None,None,0.017085949,0.07005371,0.00029751132,1.0
430000,0.017734628,None,848.0,0.6562488,None,None,0.013270685,0.0732603,0.00029744764,1.0
440000,0.012925066,None,879.0,0.67732525,None,None,0.017469393,0.058723737,0.0002973904,1.0
450000,0.013289403,21174.5,913.0,0.6680525,138.5000016950071,138.5000016950071,0.022989843,0.06841476,0.00029733308,1.0
460000,0.014225527,None,939.0,0.65466684,None,None,0.015249071,0.07283267,0.00029726973,1.0
470000,0.013304168,None,965.0,0.7181791,None,None,0.020310098,0.07261653,0.00029720605,1.0
480000,0.014918075,None,994.0,0.6934728,None,None,0.017871963,0.07176693,0.00029714883,1.0
490000,0.013462427,None,1026.0,0.6897663,None,None,0.017716642,0.075052574,0.00029709132,1.0
500000,0.010940443,None,1054.0,0.7023731,None,None,0.018824778,0.069252275,0.0002970278,1.0
510000,0.012419414,None,1079.0,0.7286515,None,None,0.020308025,0.073584266,0.0002969699,1.0
520000,0.01548107,None,1106.0,0.69723415,None,None,0.016152408,0.06590765,0.00029691184,1.0
530000,0.015189867,None,1143.0,0.6975694,None,None,0.021169629,0.06914539,0.00029684725,1.0
540000,0.013247072,None,1173.0,0.7033268,None,None,0.015413599,0.07540147,0.00029678925,1.0
550000,0.014539908,None,1201.0,0.6852806,None,None,0.018833388,0.06409912,0.00029673174,1.0
560000,0.015767686,None,1220.0,0.65631515,None,None,0.016800497,0.07104159,0.00029666783,1.0
570000,0.01349444,None,1251.0,0.6331773,None,None,0.019605447,0.06315839,0.0002966103,1.0
580000,0.015494984,35941.0,1278.0,0.71129924,238.90000244230032,238.90000244230032,0.022706946,0.06609945,0.00029655223,1.0
590000,0.016767524,13023.5,1310.0,0.74488294,86.30000105686486,86.30000105686486,0.026088417,0.06891216,0.0002964884,1.0
600000,0.01203396,None,1343.0,0.69770515,None,None,0.016907673,0.06823844,0.000296431,1.0
610000,0.014291766,None,1379.0,0.70127094,None,None,0.019705456,0.06642079,0.00029637315,1.0
620000,0.0129945185,None,1406.0,0.7265306,None,None,0.019445874,0.070158795,0.0002963091,1.0
630000,0.010658222,None,1437.0,0.70237154,None,None,0.016890079,0.06968319,0.00029624574,1.0
640000,0.0149012,32688.0,1462.0,0.6476906,233.5000028461218,233.5000028461218,0.019962803,0.06652726,0.0002961888,1.0
650000,0.015175857,None,1490.0,0.6779657,None,None,0.018080648,0.064209834,0.00029613107,1.0
660000,0.0127382,None,1512.0,0.6918868,None,None,0.018211465,0.07118176,0.00029606733,1.0
670000,0.014631323,None,1539.0,0.73514193,None,None,0.01760478,0.06353628,0.00029601023,1.0
680000,0.011827464,3725.0,1564.0,0.7131628,27.1000003144145,27.1000003144145,0.019590128,0.06560599,0.0002959534,1.0
690000,0.014871115,None,1591.0,0.68150055,None,None,0.016346795,0.071022026,0.00029589018,1.0
700000,0.015328844,None,1621.0,0.66307163,None,None,0.015999565,0.06885292,0.0002958268,1.0
710000,0.010744068,None,1647.0,0.7215869,None,None,0.016703656,0.06904889,0.00029576966,1.0
720000,0.013472577,None,1670.0,0.68796104,None,None,0.015208933,0.064023905,0.00029571235,1.0
730000,0.012040201,None,1694.0,0.6799257,None,None,0.017523084,0.06508473,0.000295649,1.0
740000,0.014007134,None,1723.0,0.6861857,None,None,0.015014032,0.07613685,0.00029559177,1.0
750000,0.014160814,None,1748.0,0.67006344,None,None,0.017117526,0.068604395,0.00029553456,1.0
760000,0.014383861,None,1775.0,0.6426196,None,None,0.017642025,0.06736287,0.00029547088,1.0
770000,0.014287848,None,1808.0,0.6697188,None,None,0.017496122,0.0680808,0.00029540708,1.0
780000,0.012039911,17117.0,1835.0,0.6715952,118.40000143647194,118.40000143647194,0.023117084,0.06807413,0.00029535007,1.0
790000,0.017138707,None,1865.0,0.63070697,None,None,0.01701139,0.07261397,0.00029529285,1.0
800000,0.020499349,None,1890.0,0.65894,None,None,0.01693404,0.07304514,0.0002952295,1.0
810000,0.02572206,None,1916.0,0.6363237,None,None,0.01657625,0.06540879,0.00029516613,1.0
820000,0.02094926,None,1941.0,0.6619752,None,None,0.019785315,0.065452434,0.00029510836,1.0
830000,0.017519256,None,1966.0,0.70664966,None,None,0.020700084,0.06856604,0.0002950496,1.0
840000,0.014482066,None,1990.0,0.7439403,None,None,0.017152224,0.06515586,0.0002949915,1.0
850000,0.013480201,None,2019.0,0.7284876,None,None,0.01703817,0.06419301,0.0002949336,1.0
860000,0.01348649,None,2043.0,0.718052,None,None,0.021808358,0.06524236,0.00029486968,1.0
870000,0.011577268,None,2072.0,0.73626775,None,None,0.020686483,0.06518005,0.0002948117,1.0
880000,0.013457134,None,2105.0,0.7394533,None,None,0.018528622,0.06762255,0.00029475449,1.0
890000,0.011108692,None,2132.0,0.7120026,None,None,0.017717669,0.07121125,0.00029469043,1.0
