Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.67848474,18.02087286527514,21.0,-0.14156114,-0.5473383867921938,-0.5473383867921938,0.2757486,0.060432166,0.0002999691,1.0
20000,0.59952027,26.43213296398892,37.0,-0.40368852,-0.5552486064355018,-0.5552486064355018,0.16226298,0.067350075,0.0002999133,1.0
30000,0.51061374,32.97594501718213,None,-0.38195583,-0.48724136609455637,-0.48724136609455637,0.14444736,0.06935959,0.00029985144,1.0
40000,0.401996,48.44041450777202,None,-0.27053437,-0.3324742125942535,-0.3324742125942535,0.13212617,0.0666082,0.0002997893,1.0
50000,0.3080885,72.02290076335878,None,-0.1392248,-0.18923074952684915,-0.18923074952684915,0.11554897,0.067108676,0.00029972626,1.0
60000,0.22720678,107.16666666666667,41.0,0.008642948,0.08860761634533919,0.08860761634533919,0.105327226,0.076255076,0.0002996701,1.0
70000,0.1296279,205.390243902439,None,0.0916902,0.5217391586174136,0.5217391586174136,0.062295865,0.07456143,0.0002996082,1.0
80000,0.070955455,379.1764705882353,None,0.17630403,1.1941176701117964,1.1941176701117964,0.03171682,0.06508921,0.00029954553,1.0
90000,0.05064106,740.3333333333334,45.0,0.24652371,2.8000000574522548,2.8000000574522548,0.026152931,0.071021475,0.00029948875,1.0
100000,0.039318293,1026.1666666666667,68.0,0.345559,4.416666725029548,4.416666725029548,0.023389323,0.059408315,0.0002994317,1.0
110000,0.03828895,1551.1666666666667,86.0,0.41272053,7.383333404858907,7.383333404858907,0.024670476,0.06969397,0.00029936823,1.0
120000,0.023894303,816.0,108.0,0.44318202,2.5500000324100256,2.5500000324100256,0.023968073,0.062435936,0.00029931104,1.0
130000,0.02929036,483.0,129.0,0.463054,-0.09999996423721313,-0.09999996423721313,0.014740618,0.0678501,0.00029925344,1.0
140000,0.027557988,2972.3333333333335,141.0,0.46664366,14.433333451549212,14.433333451549212,0.017958418,0.067581184,0.00029918994,1.0
150000,0.032526746,3067.5,157.0,0.41258335,14.350000109523535,14.350000109523535,0.01364323,0.07074887,0.00029912638,1.0
160000,0.030862102,1744.25,176.0,0.41549012,8.000000063329935,8.000000063329935,0.018106217,0.068680175,0.0002990688,1.0
