Steps,Policy/Entropy,High Score,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.6554867,11.0,16.969258589511753,-0.29928958,-0.8208333259259445,-0.8208333259259445,0.1517643,0.06694847,0.00029996905,1.0
20000,0.46722823,14.0,31.82274247491639,-0.58895326,-0.7943143730727725,-0.7943143730727725,0.054507934,0.070467696,0.00029991326,1.0
30000,0.31575063,17.0,59.89808917197452,-0.4922396,-0.6708860623214064,-0.6708860623214064,0.04269336,0.061907552,0.00029985092,1.0
40000,0.22833644,21.0,93.95959595959596,-0.33996812,-0.4696969549463253,-0.4696969549463253,0.041783225,0.06255351,0.00029978852,1.0
50000,0.1755913,36.0,130.64,-0.18123235,-0.16799997796614966,-0.16799997796614966,0.047801934,0.07888538,0.0002997259,1.0
60000,0.1426585,None,139.05128205128204,-0.14176922,-0.1358974126095955,-0.1358974126095955,0.045770768,0.07577937,0.00029966945,1.0
70000,0.12105214,None,137.6769230769231,-0.104392104,-0.049230750363606676,-0.049230750363606676,0.049251813,0.06777331,0.0002996134,1.0
80000,0.11249382,51.0,176.1578947368421,-0.009175872,0.26491230948452366,0.26491230948452366,0.05118888,0.06605374,0.00029955088,1.0
90000,0.10546965,56.0,183.28846153846155,0.037484914,0.27500004049103993,0.27500004049103993,0.04822941,0.073505096,0.00029948857,1.0
100000,0.10068293,73.0,151.6769230769231,0.06261389,0.12615386992692948,0.12615386992692948,0.054694504,0.0721368,0.00029942597,1.0
110000,0.07178573,None,176.2,0.08732721,0.4018182154406201,0.4018182154406201,0.050249226,0.0634033,0.0002993692,1.0
120000,0.06304021,None,176.10714285714286,0.1173348,0.3607143107801676,0.3607143107801676,0.053989362,0.069714874,0.00029931264,1.0
130000,0.06873709,79.0,175.32203389830508,0.13117269,0.4431034824971495,0.4431034824971495,0.06120669,0.06825111,0.00029925018,1.0
140000,0.057754457,None,185.39285714285714,0.17451848,0.6350877626161826,0.6350877626161826,0.059818484,0.07029662,0.00029918764,1.0
150000,0.055499725,119.0,141.39655172413794,0.16655113,0.21379313104111572,0.21379313104111572,0.059576184,0.069678046,0.0002991253,1.0
160000,0.064218365,184.0,134.4794520547945,0.1356716,0.124657565804377,0.124657565804377,0.07347021,0.07111981,0.00029906933,1.0
170000,0.045438167,243.0,185.53061224489795,0.09792218,0.4857143153037344,0.4857143153037344,0.046881624,0.067703374,0.00029901287,1.0
180000,0.037458133,309.0,189.94,0.12643398,0.6224490224706883,0.6224490224706883,0.051973782,0.06853627,0.00029894995,1.0
190000,0.029605674,374.0,177.83673469387756,0.2123643,0.4220000332593918,0.4220000332593918,0.05343771,0.07838432,0.0002988876,1.0
200000,0.021849804,431.0,283.37254901960785,0.19340631,1.4411765300467902,1.4411765300467902,0.060872838,0.06862162,0.00029883118,1.0
210000,0.016101472,None,178.66666666666666,0.18804617,0.6166667017947745,0.6166667017947745,0.05787452,0.06812633,0.00029877463,1.0
220000,0.015000898,None,187.6875,0.26116133,0.7478261353529018,0.7478261353529018,0.053716887,0.06309459,0.0002987121,1.0
230000,0.015138696,None,208.94642857142858,0.26257193,0.9210526778509742,0.9210526778509742,0.0702661,0.07409309,0.00029864986,1.0
240000,0.01498956,None,161.2391304347826,0.22305302,0.3787234347868473,0.3787234347868473,0.05472002,0.06871469,0.00029858717,1.0
250000,0.015319419,None,207.44897959183675,0.27565604,0.8918367800663929,0.8918367800663929,0.051651325,0.06662913,0.00029853065,1.0
260000,0.011426242,None,232.32,0.26072666,0.8530612600092985,0.8530612600092985,0.06202676,0.06789811,0.0002984744,1.0
270000,0.0087737385,None,204.6595744680851,0.2278105,0.7708333760189513,0.7708333760189513,0.06259898,0.07241823,0.0002984117,1.0
280000,0.007099641,None,179.7872340425532,0.25384977,0.46875003368283313,0.46875003368283313,0.057798665,0.068218134,0.0002983492,1.0
290000,0.0067727515,None,258.0,0.27405512,1.2151515659960834,1.2151515659960834,0.050200153,0.061986554,0.00029828664,1.0
300000,0.0066044573,None,219.98,0.3152904,0.9400000396370888,0.9400000396370888,0.064996235,0.06010866,0.00029823053,1.0
310000,0.0056138234,None,181.3,0.25721878,0.5500000376999378,0.5500000376999378,0.061309904,0.06586215,0.00029817427,1.0
