Steps,Policy/Entropy,High Score,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
810000,0.011575742,None,None,0.60357666,None,None,0.017414508,0.063946456,0.00029517376,1.0
820000,0.010873815,None,None,0.6221528,None,None,0.013744863,0.068116255,0.00029511037,1.0
830000,0.011614278,None,None,0.64497805,None,None,0.016691811,0.062018495,0.000295047,1.0
840000,0.011296528,None,None,0.61376315,None,None,0.015781935,0.07224791,0.00029499,1.0
850000,0.00885283,None,62145.0,0.6011179,386.90000526607037,386.90000526607037,0.012363101,0.07431959,0.00029493304,1.0
860000,0.0114198215,None,None,0.57357943,None,None,0.012708848,0.06572656,0.00029487,1.0
870000,0.011723584,None,None,0.576377,None,None,0.017768215,0.06540369,0.0002948066,1.0
880000,0.011614918,None,None,0.59289867,None,None,0.01586405,0.06957558,0.00029474957,1.0
890000,0.012712141,None,None,0.61646974,None,None,0.015689772,0.07224732,0.00029469258,1.0
900000,0.011586045,None,None,0.58918375,None,None,0.013819927,0.07610629,0.0002946292,1.0
910000,0.013408999,None,None,0.57036257,None,None,0.011900976,0.06780718,0.00029456586,1.0
920000,0.011909761,None,None,0.59968805,None,None,0.01881941,0.063489206,0.00029450882,1.0
930000,0.0129453745,None,None,0.60997236,None,None,0.014988074,0.07493712,0.0002944518,1.0
940000,0.0118542835,None,None,0.6175939,None,None,0.016385641,0.06940438,0.00029438845,1.0
950000,0.013122253,None,None,0.6285104,None,None,0.01524621,0.06424162,0.0002943314,1.0
960000,0.011880099,None,None,0.6165301,None,None,0.017414872,0.07197494,0.0002942744,1.0
970000,0.012503683,None,None,0.5720333,None,None,0.013937658,0.06956588,0.00029421103,1.0
980000,0.011049944,4105.0,64815.5,0.59138817,395.8500052616,395.8500052616,0.020102175,0.06664762,0.00029414773,1.0
990000,0.01244718,None,None,0.6092897,None,None,0.012554549,0.069927506,0.00029409083,1.0
1000000,0.010952194,None,None,0.63251704,None,None,0.019134318,0.07284629,0.00029403382,1.0
1010000,0.011021817,None,None,0.64740306,None,None,0.013710593,0.07396332,0.00029397046,1.0
1020000,0.01153438,None,None,0.60619587,None,None,0.014760027,0.071755,0.0002939071,1.0
1030000,0.013575871,None,None,0.6027786,None,None,0.018339576,0.06566434,0.00029385008,1.0
1040000,0.011706394,None,None,0.6328967,None,None,0.017584022,0.06529241,0.00029379307,1.0
1050000,0.010373067,None,None,0.644148,None,None,0.014950572,0.06868555,0.00029372968,1.0
1060000,0.011325377,None,None,0.60507107,None,None,0.015854599,0.06753775,0.00029366632,1.0
1070000,0.011481591,None,None,0.5964425,None,None,0.011212757,0.07041141,0.00029360928,1.0
1080000,0.010953977,None,None,0.5886614,None,None,0.01456705,0.06588615,0.00029355226,1.0
1090000,0.010889142,None,109029.0,0.5651372,668.2000087946653,668.2000087946653,0.014497533,0.06443399,0.00029348896,1.0
1100000,0.021521052,None,None,0.60044605,None,None,0.016874613,0.06782569,0.00029342572,1.0
1110000,0.020713389,None,None,0.6105817,None,None,0.014574126,0.072862886,0.00029336868,1.0
1120000,0.02216971,None,None,0.6555828,None,None,0.02156763,0.06540997,0.00029331166,1.0
1130000,0.020394327,None,None,0.65887725,None,None,0.016518045,0.07051184,0.0002932483,1.0
1140000,0.020391442,None,None,0.62102485,None,None,0.01557775,0.06331201,0.0002931913,1.0
1150000,0.017104225,None,None,0.60537046,None,None,0.016181909,0.06612625,0.00029313425,1.0
1160000,0.018865703,None,None,0.6238312,None,None,0.018599963,0.068916105,0.00029307092,1.0
1170000,0.014496369,None,None,0.64300996,None,None,0.019596409,0.06868864,0.00029300753,1.0
1180000,0.020182928,None,None,0.6467438,None,None,0.0141555965,0.0714771,0.00029295048,1.0
1190000,0.01870785,None,None,0.63568115,None,None,0.015995812,0.07208805,0.0002928935,1.0
1200000,0.015255989,None,None,0.625657,None,None,0.013236883,0.07073288,0.0002928301,1.0
1210000,0.011905803,None,None,0.6363853,None,None,0.01762198,0.07401579,0.00029276678,1.0
1220000,0.011923889,4327.0,None,0.6418958,None,None,0.018936753,0.059493598,0.00029270974,1.0
1230000,0.014505554,4656.0,None,0.6772658,None,None,0.017778587,0.06477605,0.00029265272,1.0
1240000,0.019157458,4976.0,None,0.651062,None,None,0.01254206,0.07059543,0.00029258936,1.0
1250000,0.021288536,5134.0,159986.0,0.6171126,1007.6000130474567,1007.6000130474567,0.017424371,0.07318307,0.00029252603,1.0
1260000,0.023634965,None,None,0.6137885,None,None,0.01338689,0.060244076,0.00029246905,1.0
1270000,0.02297924,None,None,0.64869463,None,None,0.018298982,0.0674475,0.000292412,1.0
1280000,0.024074055,None,None,0.6524082,None,None,0.015734155,0.06878487,0.00029234868,1.0
1290000,0.023653552,None,None,0.64599025,None,None,0.0150216855,0.06646183,0.00029229166,1.0
1300000,0.020555682,None,None,0.6571754,None,None,0.016282953,0.07047853,0.00029223462,1.0
1310000,0.020977857,None,None,0.64952755,None,None,0.015499115,0.06583492,0.00029217126,1.0
1320000,0.022214327,None,None,0.6455736,None,None,0.0138346,0.06395506,0.0002921079,1.0
1330000,0.02210681,None,None,0.6436036,None,None,0.017869227,0.06357297,0.00029205089,1.0
1340000,0.02003904,None,None,0.6553667,None,None,0.016212977,0.06377109,0.00029199384,1.0
1350000,0.019998726,None,None,0.62370557,None,None,0.0134053305,0.06348083,0.0002919305,1.0
1360000,0.01971266,None,None,0.6133116,None,None,0.014171528,0.07344477,0.00029186712,1.0
1370000,0.017810691,None,None,0.66469514,None,None,0.021549556,0.06411829,0.00029181008,1.0
1380000,0.017123276,None,None,0.6550801,None,None,0.014428218,0.07214145,0.0002917531,1.0
1390000,0.017388921,None,None,0.65092045,None,None,0.016830247,0.063888006,0.0002916897,1.0
1400000,0.0161978,None,None,0.6199192,None,None,0.014116645,0.064696945,0.00029162638,1.0
1410000,0.016147617,5255.0,None,0.60641724,None,None,0.0155442245,0.06539577,0.00029156933,1.0
1420000,0.016675882,5562.0,None,0.61279476,None,None,0.0141642485,0.07234274,0.00029151232,1.0
1430000,0.018244196,5861.0,183928.0,0.6002278,1142.4000153392553,1142.4000153392553,0.02070989,0.0716175,0.00029144896,1.0
1440000,0.02384827,None,None,0.5877246,None,None,0.016736731,0.07141929,0.00029138563,1.0
1450000,0.022528347,None,None,0.5954227,None,None,0.012646816,0.06560701,0.0002913286,1.0
1460000,0.0236759,None,None,0.5946036,None,None,0.015424575,0.07006362,0.0002912716,1.0
1470000,0.023020335,None,None,0.59589785,None,None,0.014483301,0.07226161,0.0002912082,1.0
1480000,0.022000853,None,None,0.59757626,None,None,0.012477533,0.06446909,0.0002911512,1.0
1490000,0.018116586,None,None,0.6414511,None,None,0.018625583,0.0657088,0.00029109418,1.0
1500000,0.02248135,None,None,0.644409,None,None,0.01589689,0.0705647,0.00029103082,1.0
1510000,0.02042753,None,None,0.6076285,None,None,0.013685663,0.06914548,0.00029096747,1.0
1520000,0.018925207,None,None,0.6026249,None,None,0.017035354,0.07228471,0.00029091042,1.0
1530000,0.016742982,None,None,0.6342198,None,None,0.01620645,0.06988946,0.0002908534,1.0
1540000,0.015536135,None,None,0.6322892,None,None,0.015864478,0.06500746,0.00029079005,1.0
1550000,0.014984328,None,None,0.6400564,None,None,0.014365977,0.072750255,0.0002907267,1.0
1560000,0.016077371,None,None,0.6192349,None,None,0.0119273085,0.06561281,0.00029066968,1.0
1570000,0.0140121225,None,None,0.5852292,None,None,0.013799859,0.07005592,0.00029061266,1.0
1580000,0.015678247,None,None,0.58476204,None,None,0.015055351,0.072717376,0.0002905493,1.0
1590000,0.01918223,None,None,0.57594424,None,None,0.011336364,0.07245155,0.00029048594,1.0
1600000,0.017338539,None,None,0.60756135,None,None,0.017351331,0.06741348,0.0002904289,1.0
1610000,0.01809986,None,None,0.6402357,None,None,0.016509496,0.06750117,0.00029037189,1.0
