Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.65744865,16.513986013986013,-0.13752377,-0.8227670679942113,-0.8227670679942113,11.0,0.22166248,0.07046045,0.00029996905,1.0
20000,0.44934782,33.96774193548387,-0.60317487,-0.8149999932252935,-0.8149999932252935,13.0,0.049765233,0.06311412,0.00029991305,1.0
30000,0.23974292,83.93636363636364,-0.50185895,-0.72110090561963,-0.72110090561963,18.0,0.03125488,0.070336565,0.00029985062,1.0
40000,0.11837139,186.35714285714286,-0.33785424,-0.5295454380525784,-0.5295454380525784,19.0,0.020612303,0.070531346,0.00029978788,1.0
50000,0.06310921,325.2857142857143,-0.17198975,-0.35238093563488554,-0.35238093563488554,34.0,0.016805656,0.06528361,0.00029973136,1.0
60000,0.039676435,871.875,-0.040242147,1.1000000508502126,1.1000000508502126,39.0,0.00849364,0.06694473,0.0002996742,1.0
70000,0.04552752,894.9166666666666,0.031303234,1.0166666967173417,1.0166666967173417,None,0.012074507,0.0673872,0.000299612,1.0
80000,0.03607156,547.7,0.07000838,0.020000016689300536,0.020000016689300536,50.0,0.013558397,0.06841041,0.0002995493,1.0
90000,0.032355975,1109.6666666666667,0.10461619,1.6916666980832815,1.6916666980832815,None,0.013052071,0.0733809,0.00029948627,1.0
100000,0.032755926,427.6666666666667,0.13759564,-0.36666663736104965,-0.36666663736104965,53.0,0.0071916636,0.06556986,0.00029942917,1.0
110000,0.023199968,1075.0,0.1670385,1.9250000454485416,1.9250000454485416,65.0,0.0074525224,0.06689853,0.00029937233,1.0
120000,0.022738092,2578.6666666666665,0.18842946,4.833333387970924,4.833333387970924,78.0,0.0051618963,0.06915264,0.00029930877,1.0
130000,0.02874715,2956.25,0.19407031,6.350000113248825,6.350000113248825,95.0,0.0071275095,0.066190936,0.00029924556,1.0
140000,0.020356784,1979.0,0.20639354,4.400000050663948,4.400000050663948,108.0,0.006353055,0.06812475,0.0002991886,1.0
150000,0.019640079,1568.0,0.20707306,3.133333375056585,3.133333375056585,124.0,0.0059216563,0.071285196,0.0002991315,1.0
160000,0.021097414,3971.0,0.19890079,9.350000143051147,9.350000143051147,142.0,0.0060080253,0.06615565,0.00029906776,1.0
170000,0.016828526,3047.8333333333335,0.19838284,6.233333438634872,6.233333438634872,158.0,0.009971713,0.07697034,0.00029901072,1.0
180000,0.022112284,None,0.2174809,None,None,167.0,0.0046275184,0.062590994,0.0002989539,1.0
190000,0.019712882,None,0.24356662,None,None,183.0,0.0026510847,0.066265464,0.00029889023,1.0
200000,0.017216941,7676.0,0.2382167,20.200000308454037,20.200000308454037,193.0,0.004552193,0.075842954,0.00029882565,1.0
210000,0.025204431,4037.0,0.24444564,9.500000096857548,9.500000096857548,207.0,0.0033923783,0.068789616,0.00029876851,1.0
220000,0.017196989,4033.0,0.2333335,11.50000011920929,11.50000011920929,223.0,0.0028457446,0.06922639,0.0002987117,1.0
230000,0.016954001,1944.0,0.23939925,3.600000038743019,3.600000038743019,241.0,0.004423785,0.06414901,0.00029864837,1.0
240000,0.015178508,None,0.23498917,None,None,257.0,0.0024749937,0.06692931,0.00029859072,1.0
250000,0.013448968,13377.0,0.24086785,34.200000405311584,34.200000405311584,270.0,0.0032172878,0.06701674,0.00029853338,1.0
260000,0.017521678,14630.0,0.24870335,36.700000420212746,36.700000420212746,275.0,0.0040779426,0.0669981,0.00029846947,1.0
270000,0.016109988,None,0.23793274,None,None,None,0.0024969624,0.0650089,0.00029840547,1.0
280000,0.014167448,8976.0,0.24321908,22.000000312924385,22.000000312924385,None,0.0042009507,0.06687575,0.0002983487,1.0
290000,0.0155100105,None,0.2668485,None,None,None,0.002972414,0.06714742,0.00029829104,1.0
300000,0.01602909,11103.0,0.24285457,26.500000402331352,26.500000402331352,None,0.0043063117,0.066883594,0.000298227,1.0
310000,0.015100396,None,0.22252044,None,None,282.0,0.0026332731,0.0630193,0.00029817,1.0
320000,0.015514936,12248.0,0.24393533,34.40000042319298,34.40000042319298,305.0,0.0044308393,0.06939657,0.00029811315,1.0
330000,0.014998124,10448.0,0.24354753,23.800000376999378,23.800000376999378,324.0,0.004252641,0.06559535,0.00029804962,1.0
340000,0.012983663,None,0.23864365,None,None,342.0,0.0029677437,0.06703983,0.00029798577,1.0
350000,0.014397514,11081.0,0.25213107,29.10000041127205,29.10000041127205,358.0,0.004239588,0.06965491,0.000297928,1.0
360000,0.015414438,None,0.24768052,None,None,376.0,0.0028978754,0.074534446,0.00029786976,1.0
370000,0.014924402,None,0.25963518,None,None,390.0,0.0028659408,0.07082163,0.00029780623,1.0
380000,0.01365193,None,0.2595481,None,None,405.0,0.0024270343,0.06586489,0.00029774895,1.0
390000,0.01516024,19843.0,0.26068324,50.30000068247318,50.30000068247318,418.0,0.0032545626,0.069785,0.0002976915,1.0
400000,0.011139956,None,0.23797557,None,None,433.0,0.0030211355,0.06342198,0.0002976276,1.0
410000,0.011850991,None,0.25279886,None,None,451.0,0.0032468345,0.06506726,0.00029756984,1.0
420000,0.017407628,None,0.2567232,None,None,470.0,0.002696776,0.06980979,0.00029751245,1.0
430000,0.015770119,11128.5,0.2447655,26.800000336021185,26.800000336021185,484.0,0.004354487,0.06423227,0.0002974492,1.0
440000,0.0133572295,None,0.25062785,None,None,499.0,0.0030197813,0.06949349,0.00029738582,1.0
450000,0.011315218,None,0.2482317,None,None,517.0,0.002855361,0.06781961,0.00029732878,1.0
460000,0.011127835,5936.0,0.26356217,14.700000211596489,14.700000211596489,533.0,0.0042363056,0.076495185,0.00029727115,1.0
470000,0.010325876,None,0.25193277,None,None,547.0,0.0026025372,0.072126724,0.000297207,1.0
480000,0.013768451,None,0.2587446,None,None,565.0,0.0024519202,0.065984264,0.00029714953,1.0
490000,0.011521262,None,0.27097204,None,None,579.0,0.0031221732,0.07406726,0.00029709158,1.0
500000,0.014840724,None,0.26853636,None,None,598.0,0.0024601442,0.06799574,0.0002970274,1.0
510000,0.014016154,4002.0,0.24817303,8.400000162422657,8.400000162422657,610.0,0.0044850814,0.06642923,0.0002969697,1.0
520000,0.010844338,None,0.24452077,None,None,625.0,0.00277641,0.067009985,0.0002969126,1.0
530000,0.011471694,None,0.23361672,None,None,640.0,0.0025628968,0.06852311,0.00029684877,1.0
540000,0.0114373965,None,0.23625027,None,None,654.0,0.002593161,0.068357356,0.00029679143,1.0
550000,0.0114226835,22739.0,0.23373647,58.500000685453415,58.500000685453415,669.0,0.002918144,0.062105276,0.00029673433,1.0
560000,0.012844229,None,0.23551652,None,None,689.0,0.0033265625,0.06810178,0.00029667033,1.0
570000,0.01413954,21820.0,0.25563163,53.20000074803829,53.20000074803829,709.0,0.0043807193,0.068617225,0.0002966057,1.0
580000,0.013613393,None,0.2518876,None,None,726.0,0.002674222,0.06387679,0.0002965474,1.0
590000,0.010463693,None,0.2583963,None,None,747.0,0.002766506,0.07091161,0.00029648788,1.0
600000,0.015313844,31241.0,0.2689086,84.60000105947256,84.60000105947256,768.0,0.0028143725,0.06923117,0.00029643002,1.0
610000,0.014760775,2805.0,0.26676053,7.000000186264515,7.000000186264515,788.0,0.0053730574,0.06782807,0.00029637333,1.0
620000,0.014682915,37391.0,0.2754629,93.90000119060278,93.90000119060278,807.0,0.0042089634,0.062476348,0.00029631017,1.0
630000,0.013424996,None,0.28266782,None,None,824.0,0.0030044843,0.066061296,0.00029624655,1.0
640000,0.012919025,None,0.26697212,None,None,837.0,0.0022992275,0.06434797,0.0002961895,1.0
650000,0.00832275,None,0.25540817,None,None,850.0,0.0032927282,0.06971372,0.00029613156,1.0
660000,0.009827111,3775.0,0.22774865,9.50000011920929,9.50000011920929,864.0,0.0034513467,0.07263516,0.0002960672,1.0
670000,0.010816927,33518.0,0.20589755,81.70000106096268,81.70000106096268,882.0,0.0044476613,0.0706159,0.00029601023,1.0
680000,0.008263351,None,0.21747403,None,None,897.0,0.003005029,0.067202225,0.00029595327,1.0
690000,0.007123672,None,0.2411947,None,None,915.0,0.0032124543,0.06762923,0.00029588962,1.0
700000,0.009467289,None,0.23859128,None,None,929.0,0.0024180585,0.06942746,0.00029582618,1.0
710000,0.011807966,16595.0,0.22737156,39.30000054091215,39.30000054091215,942.0,0.0039405376,0.06285449,0.000295769,1.0
720000,0.009402437,None,0.20686977,None,None,955.0,0.002906528,0.070165925,0.00029571145,1.0
730000,0.010003532,None,0.2225605,None,None,972.0,0.0028929408,0.07395678,0.00029564786,1.0
740000,0.009776448,None,0.22005165,None,None,982.0,0.0029573168,0.062290303,0.00029559017,1.0
750000,0.008305611,12232.0,0.22024876,27.700000301003456,27.700000301003456,998.0,0.0039852876,0.0739904,0.00029553086,1.0
760000,0.008318875,None,0.22261752,None,None,1014.0,0.002509977,0.06875806,0.0002954669,1.0
770000,0.008218293,None,0.23529942,None,None,1031.0,0.0034523783,0.06776285,0.00029540915,1.0
780000,0.008048669,None,0.24030975,None,None,1047.0,0.0029378496,0.065034136,0.0002953516,1.0
790000,0.010581977,None,0.23097791,None,None,1061.0,0.0028527775,0.07137384,0.00029528752,1.0
800000,0.008992894,None,0.22085679,None,None,1076.0,0.0024620567,0.07293563,0.00029522984,1.0
810000,0.012679972,None,0.2246115,None,None,1089.0,0.0029282284,0.060965627,0.00029517265,1.0
820000,0.009553282,None,0.23000893,None,None,1104.0,0.0029681243,0.071922265,0.00029510906,1.0
830000,0.008586965,6805.0,0.22707736,17.200000122189522,17.200000122189522,1118.0,0.0031291295,0.068001986,0.00029505184,1.0
840000,0.010266072,None,0.23652947,None,None,1132.0,0.0037360261,0.07660559,0.00029499372,1.0
850000,0.010560542,33997.0,0.2329023,79.80000100284815,79.80000100284815,1147.0,0.0037108995,0.06999177,0.0002949303,1.0
860000,0.009343613,None,0.2211881,None,None,1161.0,0.0025017452,0.06504114,0.00029486683,1.0
870000,0.010123674,None,0.2136966,None,None,1178.0,0.002682811,0.06903896,0.00029480952,1.0
880000,0.0077386233,None,0.221792,None,None,1191.0,0.002934989,0.065709665,0.00029475178,1.0
890000,0.009909626,None,0.22975719,None,None,1208.0,0.0024069168,0.06408649,0.0002946872,1.0
900000,0.008341231,None,0.22735018,None,None,1220.0,0.0027455818,0.07257664,0.0002946302,1.0
910000,0.008027355,None,0.23110747,None,None,1230.0,0.0024522361,0.07058075,0.00029457203,1.0
920000,0.009543461,41670.0,0.24589601,100.80000114440918,100.80000114440918,1239.0,0.0038243358,0.074142225,0.0002945087,1.0
930000,0.008927602,None,0.23764537,None,None,1249.0,0.0028831263,0.07406929,0.00029445166,1.0
940000,0.009704923,19610.0,0.2453349,46.100000344216824,46.100000344216824,1264.0,0.0024304143,0.07003376,0.00029439412,1.0
950000,0.009440473,None,0.22847356,None,None,1279.0,0.004024905,0.06701102,0.00029433027,1.0
960000,0.013120627,None,0.24989441,None,None,1297.0,0.0038922601,0.07263652,0.00029426653,1.0
970000,0.014358735,None,0.2694653,None,None,1318.0,0.0028568762,0.06969544,0.00029420952,1.0
980000,0.007904906,None,0.26812994,None,None,1332.0,0.0030894685,0.0723833,0.0002941521,1.0
