Steps,Policy/Entropy,High Score,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.6661627,15.0,17.194545454545455,-0.51362824,-0.6928961663243983,-0.6928961663243983,0.13576694,0.064717904,0.0002999691,1.0
20000,0.46289906,19.0,36.89453125,-0.47519532,-0.5330739186837515,-0.5330739186837515,0.10530035,0.06518733,0.00029991328,1.0
30000,0.28488114,22.0,69.25954198473282,-0.2880773,-0.3610686875936639,-0.3610686875936639,0.08646934,0.06689692,0.00029985092,1.0
40000,0.21214695,37.0,139.47222222222223,-0.042844623,0.3028169263836364,0.3028169263836364,0.08425214,0.07610999,0.00029978855,1.0
50000,0.15545543,42.0,195.8181818181818,0.20226659,0.9636363961141218,0.9636363961141218,0.07828012,0.062348343,0.00029972536,1.0
60000,0.11841537,47.0,306.2068965517241,0.26117915,1.5400000291566054,1.5400000291566054,0.06046789,0.06803407,0.0002996689,1.0
70000,0.103569016,56.0,378.1666666666667,0.38108432,1.9458333890264232,1.9458333890264232,0.055182897,0.06808742,0.00029961302,1.0
80000,0.08611991,61.0,397.73333333333335,0.44942525,1.6400000378489494,1.6400000378489494,0.04499946,0.06797049,0.00029955062,1.0
90000,0.059844345,70.0,666.0,0.4372551,3.513333389163017,3.513333389163017,0.042741824,0.06784593,0.00029948787,1.0
100000,0.04302626,89.0,771.25,0.43368307,3.650000035762787,3.650000035762787,0.018253777,0.068525165,0.0002994311,1.0
110000,0.04736842,109.0,834.25,0.4663635,3.6750000584870577,3.6750000584870577,0.020153556,0.070668265,0.00029937428,1.0
120000,0.047615338,118.0,1800.2222222222222,0.4635554,9.033333423237005,9.033333423237005,0.023322407,0.073886104,0.0002993113,1.0
130000,0.04250879,132.0,1534.0,0.39349413,7.200000050663948,7.200000050663948,0.022420777,0.06377087,0.00029924783,1.0
140000,0.04485095,138.0,1558.875,0.4473638,7.687500079162419,7.687500079162419,0.031999372,0.06769761,0.00029919134,1.0
150000,0.037626043,None,1361.75,0.46563476,5.900000057183206,5.900000057183206,0.023036933,0.07065695,0.00029913458,1.0
160000,0.02631814,None,434.6666666666667,0.49737045,0.700000007947286,0.700000007947286,0.014583385,0.06590687,0.00029907151,1.0
170000,0.02292743,144.0,1344.0,0.5002536,5.3000000193715096,5.3000000193715096,0.011459273,0.07210244,0.00029900862,1.0
180000,0.015126094,167.0,None,0.51507646,None,None,0.0113625685,0.06452472,0.0002989515,1.0
190000,0.017138101,188.0,3054.3333333333335,0.5093578,15.266666750113169,15.266666750113169,0.017164258,0.07093008,0.0002988946,1.0
200000,0.015468026,213.0,2844.0,0.51554424,12.000000067055225,12.000000067055225,0.0131141,0.06301672,0.0002988316,1.0
210000,0.017462151,235.0,None,0.52857476,None,None,0.011133976,0.06679709,0.00029876837,1.0
220000,0.015456887,260.0,None,0.5708384,None,None,0.012372981,0.06430578,0.00029871103,1.0
230000,0.015087283,282.0,None,0.604098,None,None,0.0131697375,0.065846965,0.00029865393,1.0
