Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.663084,18.603174603174605,18.0,-0.26067927,-0.6850894539363341,-0.6850894539363341,0.18023267,0.06469954,0.00029996908,1.0
20000,0.48556378,35.02214022140221,None,-0.59964234,-0.7547794044949114,-0.7547794044949114,0.062289804,0.07140194,0.0002999134,1.0
30000,0.32248342,80.83928571428571,20.0,-0.44315097,-0.4526785582836185,-0.4526785582836185,0.054052323,0.06359215,0.00029985094,1.0
40000,0.18699726,158.79032258064515,None,-0.25094238,-0.2887096626143302,-0.2887096626143302,0.040011536,0.06520754,0.00029978817,1.0
50000,0.11030983,247.12121212121212,30.0,-0.09759875,0.29393941773609683,0.29393941773609683,0.037773494,0.065251455,0.00029972597,1.0
60000,0.058745466,394.0,37.0,0.037963554,0.7235294326263315,0.7235294326263315,0.025392609,0.06524833,0.0002996698,1.0
70000,0.04175859,833.6,46.0,0.15501828,1.7600000254809856,1.7600000254809856,0.01832162,0.06601565,0.0002996133,1.0
80000,0.039146017,1383.0,62.0,0.24823587,4.5666667222976685,4.5666667222976685,0.01615182,0.06587346,0.00029955027,1.0
90000,0.042114023,1496.0,67.0,0.25706023,5.366666715592146,5.366666715592146,0.019454107,0.0678509,0.00029948656,1.0
100000,0.034019582,1224.6,87.0,0.29505935,3.4000000566244126,3.4000000566244126,0.020781117,0.067444615,0.0002994301,1.0
110000,0.03860169,976.6666666666666,109.0,0.3511134,2.3333333681027093,2.3333333681027093,0.013866867,0.063381284,0.00029937288,1.0
120000,0.040935215,3250.5714285714284,117.0,0.37239674,13.857142977416515,13.857142977416515,0.021951126,0.06504638,0.0002993091,1.0
130000,0.03964311,1715.0,None,0.38012344,6.6200000762939455,6.6200000762939455,0.02381674,0.076511964,0.00029924634,1.0
140000,0.035866503,1039.3333333333333,None,0.35425612,4.033333366115888,4.033333366115888,0.012442262,0.06486544,0.00029918973,1.0
150000,0.025347345,2000.5,129.0,0.34119144,6.800000116229057,6.800000116229057,0.012520772,0.06616931,0.00029913307,1.0
160000,0.025923168,3098.0,146.0,0.33642748,13.00000013038516,13.00000013038516,0.012134242,0.06566189,0.0002990696,1.0
170000,0.023993157,None,163.0,0.32449362,None,None,0.00944253,0.068041354,0.00029901194,1.0
