Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.63876504,19.5599173553719,21.0,0.059791017,-0.662525871402235,-0.662525871402235,0.33423954,0.07236488,0.000299969,1.0
20000,0.409361,38.13191489361702,None,-0.45920527,-0.7330508393756414,-0.7330508393756414,0.089378424,0.06854573,0.00029991317,1.0
30000,0.22429103,112.69047619047619,25.0,-0.34046447,-0.3321428433770225,-0.3321428433770225,0.056016393,0.0715218,0.00029985106,1.0
40000,0.12838435,180.71698113207546,27.0,-0.18699878,-0.12264149481395506,-0.12264149481395506,0.046884105,0.06750842,0.0002997884,1.0
50000,0.101688944,259.9166666666667,32.0,-0.025765441,0.5400000216705458,0.5400000216705458,0.043902,0.06525333,0.0002997257,1.0
60000,0.060757365,344.44444444444446,None,0.042705957,0.4105263321023238,0.4105263321023238,0.03226687,0.06466001,0.0002996688,1.0
70000,0.03657941,606.5,45.0,0.15194425,1.5833333563059568,1.5833333563059568,0.028287703,0.063389376,0.00029961186,1.0
80000,0.030664476,1127.3333333333333,65.0,0.27641898,5.200000045200189,5.200000045200189,0.016620632,0.06804394,0.00029954867,1.0
90000,0.027453633,1337.8,91.0,0.32183528,4.240000034868717,4.240000034868717,0.019206138,0.06754515,0.00029949122,1.0
100000,0.025792891,839.0,109.0,0.3496583,1.500000037252903,1.500000037252903,0.015134687,0.070532575,0.00029943357,1.0
110000,0.028494438,1693.0,130.0,0.40739778,6.833333401630322,6.833333401630322,0.024065789,0.06634202,0.00029936963,1.0
120000,0.022991952,None,147.0,0.42475677,None,None,0.013281668,0.068191804,0.00029930583,1.0
130000,0.02112188,5483.5,170.0,0.45842895,25.300000175833702,25.300000175833702,0.016747676,0.07113866,0.00029924873,1.0
140000,0.022838533,None,187.0,0.47383317,None,None,0.013662057,0.069819376,0.0002991914,1.0
150000,0.020465776,None,208.0,0.50865865,None,None,0.014533791,0.06957225,0.00029912745,1.0
